mesh_id,mesh_term,Cardiology,Dermatology,Endocrinology,GI Hepatology,Immuno Rheumatology,Infectious Diseases,Nephrology,Neurology,Psych General,Oncology,Otolaryngology,Pulmonary Medicine,Reproductive Medicine,Psych Specific,Hepatology Specific
G16.500.750.775,Weather,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.154,Droughts,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.232,Extreme Cold,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.271,Extreme Heat,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.310,Humidity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.342,Ice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.375,Lightning,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.450,Rain,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.450.050,Acid Rain,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.480,Snow,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.525,Sunlight,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.525.400,Infrared Rays,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.525.600,Ultraviolet Rays,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.710,Temperature,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.710.300,Cold Temperature,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.710.380,Hot Temperature,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.745,Tornadoes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.750.775.780,Wind,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.500.887,Steam,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.690,Pigmentation,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.690.360,Eye Color,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.690.490,Hair Color,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.690.890,Skin Pigmentation,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
G16.757,Recovery of Function,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.824,Species Specificity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
G16.920,Tissue Survival,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
